,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,churn_month,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0,0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,1,No,Yes,No,Yes,Yes,No,2,Yes,2,65.6,593.3,No,,2,Yes,Female,0,Yes,Yes,2,65.6,593.3,2021-04-21 18:07:34,Yes,No,1,No,Yes,No,Yes,Yes,No
1,0003-MKNFE,Male,0,No,No,9,Yes,Yes,1,No,No,No,No,No,Yes,1,No,2,59.9,542.4,No,,1,No,Male,0,No,No,2,59.9,542.4,2021-04-21 18:07:34,Yes,Yes,1,No,No,No,No,No,Yes
2,0004-TLHLJ,Male,0,No,No,4,Yes,No,2,No,No,Yes,No,No,No,1,Yes,1,73.9,280.85,Yes,2022-01-31,1,Yes,Male,0,No,No,1,73.9,280.85,2021-09-21 18:07:34,Yes,No,2,No,No,Yes,No,No,No
3,0011-IGKFF,Male,1,Yes,No,13,Yes,No,2,No,Yes,Yes,No,Yes,Yes,1,Yes,1,98.0,1237.85,Yes,2022-01-31,1,Yes,Male,1,Yes,No,1,98.0,1237.85,2020-12-21 18:07:34,Yes,No,2,No,Yes,Yes,No,Yes,Yes
4,0013-EXCHZ,Female,1,Yes,No,3,Yes,No,2,No,No,No,Yes,Yes,No,1,Yes,2,83.9,267.4,Yes,2022-01-31,1,Yes,Female,1,Yes,No,2,83.9,267.4,2021-10-21 18:07:34,Yes,No,2,No,No,No,Yes,Yes,No
5,0013-MHZWF,Female,0,No,Yes,9,Yes,No,1,No,No,No,Yes,Yes,Yes,1,Yes,4,69.4,571.45,No,,1,Yes,Female,0,No,Yes,4,69.4,571.45,2021-04-21 18:07:34,Yes,No,1,No,No,No,Yes,Yes,Yes
6,0013-SMEOE,Female,1,Yes,No,71,Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,109.7,7904.25,No,,3,Yes,Female,1,Yes,No,3,109.7,7904.25,2016-02-21 18:07:34,Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes
7,0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,2,Yes,No,No,Yes,No,No,3,Yes,4,84.65,5377.8,No,,3,Yes,Male,0,Yes,No,4,84.65,5377.8,2016-10-21 18:07:34,Yes,Yes,2,Yes,No,No,Yes,No,No
8,0015-UOCOJ,Female,1,No,No,7,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,48.2,340.35,No,,1,Yes,Female,1,No,No,1,48.2,340.35,2021-06-21 18:07:34,Yes,No,1,Yes,No,No,No,No,No
9,0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,2,90.45,5957.9,No,,3,Yes,Female,0,Yes,Yes,2,90.45,5957.9,2016-08-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
10,0017-DINOC,Male,0,No,No,54,No,No phone service,1,Yes,No,No,Yes,Yes,No,3,No,4,45.2,2460.55,No,,3,No,Male,0,No,No,4,45.2,2460.55,2017-07-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,Yes,No
11,0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,4,116.8,8456.75,No,,3,Yes,Female,0,Yes,Yes,4,116.8,8456.75,2016-01-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
12,0018-NYROU,Female,0,Yes,No,5,Yes,No,2,No,No,No,No,No,No,1,Yes,1,68.95,351.5,No,,1,Yes,Female,0,Yes,No,1,68.95,351.5,2021-08-21 18:07:34,Yes,No,2,No,No,No,No,No,No
13,0019-EFAEP,Female,0,No,No,72,Yes,Yes,2,Yes,Yes,Yes,No,Yes,No,3,Yes,3,101.3,7261.25,No,,3,Yes,Female,0,No,No,3,101.3,7261.25,2016-01-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,No,Yes,No
14,0019-GFNTW,Female,0,No,No,56,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,3,No,3,45.05,2560.1,No,,3,No,Female,0,No,No,3,45.05,2560.1,2017-05-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,Yes,No,No
15,0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,2,No,Yes,Yes,No,No,Yes,3,Yes,4,95.75,6849.4,No,,3,Yes,Female,0,Yes,Yes,4,95.75,6849.4,2016-02-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,No,Yes
16,0020-JDNXP,Female,0,Yes,Yes,34,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,2,No,2,61.25,1993.2,No,,2,No,Female,0,Yes,Yes,2,61.25,1993.2,2019-03-21 18:07:34,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes
17,0021-IKXGC,Female,1,No,No,1,Yes,Yes,2,No,No,No,No,No,No,1,Yes,1,72.1,72.1,No,,1,Yes,Female,1,No,No,1,72.1,72.1,2021-12-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
18,0022-TCJCI,Male,1,No,No,45,Yes,No,1,Yes,No,Yes,No,No,Yes,2,No,4,62.7,2791.5,Yes,2022-01-31,2,No,Male,1,No,No,4,62.7,2791.5,2018-04-21 18:07:34,Yes,No,1,Yes,No,Yes,No,No,Yes
19,0023-HGHWL,Male,1,No,No,1,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,25.1,25.1,Yes,2022-01-31,1,Yes,Male,1,No,No,1,25.1,25.1,2021-12-21 18:07:34,No,No phone service,1,No,No,No,No,No,No
20,0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,1,25.2,1306.3,No,,2,No,Female,1,Yes,No,1,25.2,1306.3,2017-11-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
